customer_id,customer_segment,acquisition_channel,customer_state,total_orders_placed,completed_orders,failed_orders,recency_days,customer_tenure_days,total_lifetime_spend,average_order_value,total_units_purchased,discount_sensitivity_pct,category_diversity_count,avg_installments,is_credit_card_user,is_upi_user,avg_csat_score,negative_feedback_count,is_churned,churn_probability,churn_risk_tier,revenue_at_risk
CUST_000001,SME,Organic Search,Karnataka,1,1,0,829,0,6925.2,6925.2,3,6.41,3,1.0,1,0,4.0,0,1,0.6019,Moderate Risk (40-69%),4168.28
CUST_000002,Consumer,Organic Search,Haryana,4,4,0,544,335,8418.15,2104.54,4,3.13,3,2.75,1,1,4.75,0,1,0.3991,Low Risk (<40%),3359.68
CUST_000003,Consumer,Social Media / Instagram,Haryana,3,3,0,55,196,5467.05,1822.35,5,1.21,3,2.3333333333333335,1,1,4.33,0,0,0.3767,Low Risk (<40%),2059.44
CUST_000004,Consumer,Referral,Tamil Nadu,1,1,0,965,0,521.55,521.55,1,5.0,1,1.0,1,0,1.0,1,1,0.7812,Critical Risk (>=70%),407.43
CUST_000005,Consumer,Organic Search,Delhi,5,4,1,565,186,7583.2,1895.8,4,4.83,4,2.4,1,0,4.2,1,1,0.5798,Moderate Risk (40-69%),4396.74
CUST_000006,Consumer,Organic Search,Gujarat,2,2,0,32,70,13639.1,6819.55,4,2.5,3,1.0,1,0,5.0,0,0,0.313,Low Risk (<40%),4269.04
CUST_000007,SME,Paid Google Ads,Telangana,8,7,1,321,265,28939.5,4134.21,10,5.34,4,2.25,1,1,4.25,1,1,0.4742,Moderate Risk (40-69%),13723.11
CUST_000008,Consumer,Social Media / Instagram,Telangana,1,1,0,925,0,848.0,848.0,1,0.0,1,3.0,1,0,2.0,1,1,0.8405,Critical Risk (>=70%),712.74
CUST_000009,SME,Referral,Telangana,5,5,0,109,475,7012.55,1402.51,5,0.85,3,1.4,1,1,4.8,0,1,0.5413,Moderate Risk (40-69%),3795.89
CUST_000010,Consumer,Organic Search,Gujarat,1,1,0,700,0,7124.349999999999,7124.35,4,11.43,3,1.0,0,1,2.0,1,1,0.7854,Critical Risk (>=70%),5595.46
CUST_000011,Consumer,Paid Google Ads,Karnataka,7,7,0,494,230,33936.95,4848.14,12,7.53,4,1.7142857142857142,1,1,4.43,0,1,0.3624,Low Risk (<40%),12298.75
CUST_000012,Corporate,Social Media / Instagram,Uttar Pradesh,2,2,0,257,147,7757.35,3878.68,5,6.1,3,2.0,1,0,3.0,1,1,0.5054,Moderate Risk (40-69%),3920.56
CUST_000013,Consumer,Organic Search,Gujarat,5,5,0,246,402,15885.35,3177.07,6,5.45,4,1.4,1,1,3.8,1,1,0.5143,Moderate Risk (40-69%),8169.84
CUST_000014,Corporate,Paid Google Ads,Karnataka,3,3,0,26,209,9098.3,3032.77,4,7.21,4,1.0,0,1,4.0,1,0,0.4507,Moderate Risk (40-69%),4100.6
CUST_000015,SME,Social Media / Instagram,West Bengal,5,5,0,468,356,35507.15,7101.43,11,1.04,4,2.4,1,1,4.6,0,1,0.4042,Moderate Risk (40-69%),14351.99
CUST_000016,Consumer,Organic Search,Tamil Nadu,4,4,0,64,308,10503.5,2625.88,7,6.96,3,1.0,1,1,5.0,0,0,0.3856,Low Risk (<40%),4050.15
CUST_000017,Consumer,Email Campaign,Rajasthan,2,2,0,766,62,2426.3500000000004,1213.18,2,16.83,2,1.0,0,1,5.0,0,1,0.4932,Moderate Risk (40-69%),1196.68
CUST_000018,SME,Organic Search,Karnataka,1,1,0,808,0,3196.2,3196.2,2,9.68,2,1.0,0,1,2.0,1,1,0.8963,Critical Risk (>=70%),2864.75
CUST_000019,Consumer,Paid Google Ads,Uttar Pradesh,5,5,0,76,419,24278.5,4855.7,8,6.77,3,2.4,1,1,4.6,0,0,0.4301,Moderate Risk (40-69%),10442.18
CUST_000020,Consumer,Organic Search,Haryana,1,1,0,65,0,999.0,999.0,1,0.0,1,1.0,1,0,5.0,0,0,0.4606,Moderate Risk (40-69%),460.14
CUST_000021,Consumer,Paid Google Ads,Telangana,10,10,0,123,385,30041.65,3004.16,16,6.91,5,1.4,1,1,3.9,1,1,0.6088,Moderate Risk (40-69%),18289.36
CUST_000022,Consumer,Organic Search,Telangana,3,3,0,78,256,3718.05,1239.35,4,1.25,3,1.6666666666666667,1,1,4.0,0,0,0.3686,Low Risk (<40%),1370.47
CUST_000023,Consumer,Social Media / Instagram,Haryana,4,4,0,293,129,27564.2,6891.05,7,2.49,3,1.0,1,1,3.0,1,1,0.6935,Moderate Risk (40-69%),19115.77
CUST_000024,Consumer,Paid Google Ads,Haryana,4,4,0,718,141,20257.350000000002,5064.34,8,3.97,4,3.25,1,0,3.5,1,1,0.6064,Moderate Risk (40-69%),12284.06
CUST_000025,Consumer,Referral,Telangana,8,8,0,522,369,24796.95,3099.62,14,2.46,5,2.25,1,1,4.13,2,1,0.5333,Moderate Risk (40-69%),13224.21
CUST_000026,Corporate,Paid Google Ads,West Bengal,8,8,0,542,301,32202.35,4025.29,11,3.39,5,3.125,1,1,4.13,1,1,0.4612,Moderate Risk (40-69%),14851.72
CUST_000027,Consumer,Referral,West Bengal,3,3,0,436,103,22263.45,7421.15,5,8.93,2,1.0,0,0,3.33,1,1,0.657,Moderate Risk (40-69%),14627.09
CUST_000028,SME,Paid Google Ads,Haryana,1,1,0,287,0,6595.2,6595.2,3,8.34,2,3.0,1,0,4.0,0,1,0.6243,Moderate Risk (40-69%),4117.38
CUST_000029,Consumer,Organic Search,West Bengal,4,4,0,471,157,28049.4,7012.35,7,6.54,3,1.0,0,1,4.0,1,1,0.585,Moderate Risk (40-69%),16408.9
CUST_000030,Consumer,Organic Search,Haryana,1,1,0,247,0,3606.2,3606.2,2,9.61,2,1.0,0,1,2.0,1,1,0.8738,Critical Risk (>=70%),3151.1
CUST_000031,Corporate,Referral,Tamil Nadu,5,4,1,343,555,7338.1,1834.53,4,2.12,2,2.4,1,1,4.4,0,1,0.5385,Moderate Risk (40-69%),3951.57
CUST_000032,Consumer,Organic Search,Telangana,1,1,0,69,0,3595.0,3595.0,3,0.0,2,1.0,1,0,1.0,1,0,0.7005,Critical Risk (>=70%),2518.3
CUST_000033,SME,Referral,West Bengal,8,8,0,464,316,32874.55,4109.32,11,5.32,4,1.875,1,1,4.63,0,1,0.347,Low Risk (<40%),11407.47
CUST_000034,Consumer,Paid Google Ads,Uttar Pradesh,6,6,0,24,202,10719.3,1786.55,6,4.87,4,1.8333333333333333,1,1,5.0,0,0,0.4092,Moderate Risk (40-69%),4386.34
CUST_000035,Consumer,Organic Search,Karnataka,2,2,0,49,43,10795.75,5397.88,4,6.28,2,1.0,0,1,5.0,0,0,0.2427,Low Risk (<40%),2620.13
CUST_000036,Consumer,Organic Search,Tamil Nadu,4,4,0,454,332,7232.05,1808.01,5,1.22,3,1.0,0,1,5.0,0,1,0.4924,Moderate Risk (40-69%),3561.06
CUST_000037,Consumer,Referral,Tamil Nadu,7,7,0,159,250,30587.2,4369.6,12,5.52,4,2.4285714285714284,1,1,3.57,1,1,0.5864,Moderate Risk (40-69%),17936.33
CUST_000038,Corporate,Email Campaign,Haryana,1,1,0,103,0,2473.6,2473.6,2,4.56,2,1.0,0,1,5.0,0,1,0.5387,Moderate Risk (40-69%),1332.53
CUST_000039,Consumer,Referral,Uttar Pradesh,6,6,0,684,228,19907.7,3317.95,11,6.37,5,1.0,1,1,4.5,0,1,0.3869,Low Risk (<40%),7702.29
CUST_000040,Consumer,Social Media / Instagram,Maharashtra,3,2,1,254,253,2296.15,1148.08,2,7.15,1,1.6666666666666667,1,0,4.67,0,1,0.4846,Moderate Risk (40-69%),1112.71
CUST_000041,Consumer,Organic Search,Haryana,1,1,0,914,0,8685.35,8685.35,3,12.12,2,3.0,1,0,1.0,1,1,0.8713,Critical Risk (>=70%),7567.55
CUST_000042,SME,Organic Search,Haryana,4,4,0,34,341,10463.35,2615.84,7,4.1,4,1.0,0,1,4.75,0,0,0.4162,Moderate Risk (40-69%),4354.85
CUST_000043,Consumer,Paid Google Ads,Haryana,3,3,0,4,97,4015.15,1338.38,4,5.0,2,1.0,0,1,4.33,0,0,0.3919,Low Risk (<40%),1573.54
CUST_000044,Consumer,Organic Search,Rajasthan,5,5,0,664,186,23483.25,4696.65,7,3.27,4,2.0,1,1,3.8,1,1,0.5951,Moderate Risk (40-69%),13974.88
CUST_000045,Consumer,Organic Search,Rajasthan,4,3,1,497,393,7142.0,2380.0,4,0.0,4,1.5,1,1,5.0,0,1,0.4192,Moderate Risk (40-69%),2993.93
CUST_000046,Consumer,Email Campaign,Rajasthan,1,1,0,762,0,2405.4,2405.4,3,11.83,2,1.0,0,1,1.0,1,1,0.9075,Critical Risk (>=70%),2182.9
CUST_000047,Consumer,Organic Search,Gujarat,2,2,0,228,81,2792.25,1396.13,2,12.05,2,3.5,1,1,4.0,0,1,0.5784,Moderate Risk (40-69%),1615.04
CUST_000048,Consumer,Social Media / Instagram,Gujarat,4,4,0,268,129,9268.25,2317.06,4,6.23,2,1.0,1,1,3.75,1,1,0.5343,Moderate Risk (40-69%),4952.03
CUST_000049,Consumer,Organic Search,Karnataka,6,6,0,410,206,16105.45,2684.24,10,3.69,4,1.3333333333333333,1,1,4.5,0,1,0.3992,Low Risk (<40%),6429.3
CUST_000050,Consumer,Paid Google Ads,Tamil Nadu,1,1,0,415,0,17097.0,17097.0,2,0.0,1,1.0,0,1,2.0,1,1,0.8251,Critical Risk (>=70%),14106.73
CUST_000051,Consumer,Social Media / Instagram,Rajasthan,3,3,0,224,179,12843.1,4281.03,4,2.5,2,2.3333333333333335,1,0,4.67,0,1,0.3377,Low Risk (<40%),4337.11
CUST_000052,Consumer,Referral,Karnataka,1,1,0,212,0,598.0,598.0,1,0.0,1,1.0,0,0,4.0,0,1,0.7332,Critical Risk (>=70%),438.45
CUST_000053,Consumer,Social Media / Instagram,Telangana,1,1,0,763,0,2199.0,2199.0,1,0.0,1,1.0,0,1,1.0,1,1,0.8413,Critical Risk (>=70%),1850.02
CUST_000054,Consumer,Referral,Telangana,9,9,0,532,390,36287.25,4031.92,14,5.34,4,1.2222222222222223,1,1,3.89,1,1,0.4803,Moderate Risk (40-69%),17428.77
CUST_000055,Consumer,Organic Search,Uttar Pradesh,1,1,0,840,0,2331.1,2331.1,2,4.71,2,6.0,1,0,2.0,1,1,0.861,Critical Risk (>=70%),2007.08
CUST_000056,SME,Paid Google Ads,Telangana,1,1,0,534,0,2647.0,2647.0,2,0.0,1,1.0,0,1,2.0,1,1,0.8805,Critical Risk (>=70%),2330.68
CUST_000057,Corporate,Social Media / Instagram,Karnataka,3,3,0,614,207,15457.25,5152.42,5,3.73,3,2.6666666666666665,1,1,4.67,0,1,0.3452,Low Risk (<40%),5335.84
CUST_000058,Consumer,Paid Google Ads,Gujarat,3,3,0,689,239,6441.25,2147.08,6,4.95,4,1.0,0,1,3.33,1,1,0.5602,Moderate Risk (40-69%),3608.39
CUST_000059,Consumer,Organic Search,Maharashtra,4,4,0,512,357,5134.15,1283.54,4,3.58,3,1.0,0,1,4.0,1,1,0.5303,Moderate Risk (40-69%),2722.64
CUST_000060,Corporate,Social Media / Instagram,Haryana,3,3,0,641,90,4362.25,1454.08,4,5.75,4,1.0,0,1,2.67,2,1,0.6516,Moderate Risk (40-69%),2842.44
CUST_000061,Consumer,Social Media / Instagram,Delhi,1,1,0,632,0,1439.1,1439.1,1,10.0,1,1.0,0,1,2.0,1,1,0.8713,Critical Risk (>=70%),1253.89
CUST_000062,SME,Referral,Uttar Pradesh,4,4,0,588,111,21392.350000000002,5348.09,5,6.92,2,2.25,1,1,4.0,1,1,0.616,Moderate Risk (40-69%),13177.69
CUST_000063,SME,Referral,Karnataka,9,9,0,335,412,23297.1,2588.57,12,0.83,4,1.0,1,1,4.78,0,1,0.5534,Moderate Risk (40-69%),12892.62
CUST_000064,Consumer,Social Media / Instagram,West Bengal,5,5,0,297,442,12924.300000000001,2584.86,7,4.12,4,2.0,1,1,4.0,1,1,0.5387,Moderate Risk (40-69%),6962.32
CUST_000065,Consumer,Referral,Tamil Nadu,2,2,0,29,149,5894.2,2947.1,3,6.3,2,2.0,1,0,4.5,0,0,0.2913,Low Risk (<40%),1716.98
CUST_000066,Consumer,Referral,Haryana,6,6,0,432,200,22103.35,3683.89,7,4.85,3,1.8333333333333333,1,1,3.83,2,1,0.6216,Moderate Risk (40-69%),13739.44
CUST_000067,Consumer,Email Campaign,Karnataka,4,4,0,575,128,10371.25,2592.81,5,4.97,5,1.5,1,1,4.75,0,1,0.4001,Moderate Risk (40-69%),4149.54
CUST_000068,Consumer,Social Media / Instagram,Rajasthan,1,1,0,528,0,7297.1,7297.1,2,5.0,2,1.0,0,1,1.0,1,1,0.8606,Critical Risk (>=70%),6279.88
CUST_000069,Consumer,Paid Google Ads,Haryana,4,4,0,512,201,9283.300000000001,2320.83,4,7.26,3,1.0,0,1,3.75,1,1,0.549,Moderate Risk (40-69%),5096.53
CUST_000070,Consumer,Referral,Uttar Pradesh,1,1,0,268,0,2506.2,2506.2,2,9.34,2,1.0,0,1,2.0,1,1,0.8802,Critical Risk (>=70%),2205.96
CUST_000071,Consumer,Email Campaign,Tamil Nadu,1,1,0,634,0,5655.6,5655.6,4,14.88,1,1.0,0,1,2.0,1,1,0.9065,Critical Risk (>=70%),5126.8
CUST_000072,Corporate,Paid Google Ads,Karnataka,3,3,0,69,221,1902.8,634.27,3,9.11,2,1.0,0,1,5.0,0,0,0.4408,Moderate Risk (40-69%),838.75
CUST_000073,Consumer,Organic Search,Uttar Pradesh,1,1,0,542,0,1578.15,1578.15,1,14.6,1,1.0,0,1,4.0,0,1,0.585,Moderate Risk (40-69%),923.22
CUST_000074,SME,Organic Search,Uttar Pradesh,2,2,0,302,88,3102.7999999999997,1551.4,3,9.73,2,2.0,1,1,5.0,0,1,0.4089,Moderate Risk (40-69%),1268.73
CUST_000075,Consumer,Organic Search,Haryana,1,1,0,168,0,4575.35,4575.35,3,9.71,2,1.0,1,0,3.0,0,1,0.7991,Critical Risk (>=70%),3656.16
CUST_000076,Consumer,Social Media / Instagram,Gujarat,5,5,0,55,394,11098.2,2219.64,7,2.72,4,2.0,1,1,4.2,1,0,0.5166,Moderate Risk (40-69%),5733.33
CUST_000077,Consumer,Paid Google Ads,Delhi,1,1,0,323,0,1238.05,1238.05,1,4.62,1,1.0,0,1,2.0,1,1,0.8861,Critical Risk (>=70%),1097.04
CUST_000078,Consumer,Organic Search,Karnataka,9,8,1,351,418,25196.55,3149.57,11,4.86,4,2.0,1,1,3.67,2,1,0.5736,Moderate Risk (40-69%),14452.74
